electionID,votingOpen,votingClose,position,winner
600,2024-10-30,2024-11-15,President,400
601,2024-10-10,2024-10-24,Vice President,401
602,2024-10-09,2024-10-23,Treasurer,402
603,2024-10-05,2024-10-19,Secretary,403
604,2024-09-08,2024-09-22,Outreach Coordinator,404
605,2024-10-02,2024-10-17,Event Coordinator,405
606,2024-10-14,2024-10-30,Social Chair,406
607,2024-09-01,2024-09-15,Communications Chair,407
608,2024-09-17,2024-10-01,Fundraising Chair,408
609,2024-09-27,2024-10-11,Membership Coordinator,409
610,2024-10-10,2024-10-24,Marketing Director,410
611,2024-09-11,2024-09-25,Treasurer,411
612,2024-09-08,2024-09-22,Public Relations Officer,412
613,2024-09-24,2024-10-08,Diversity Chair,413
614,2024-10-30,2024-11-15,Sustainability Officer,414
615,2024-09-06,2024-09-20,Alumni Relations Chair,415
616,2024-09-14,2024-09-28,Community Service Coordinator,416
617,2024-10-23,2024-11-06,Workshop Coordinator,417
618,2024-09-11,2024-09-25,Recruitment Chair,418
619,2024-09-13,2024-09-27,Safety Officer,419
620,2024-09-07,2024-09-21,Technology Coordinator,420
621,2024-10-08,2024-10-22,Cultural Events Chair,421
622,2024-10-19,2024-11-02,Mentorship Coordinator,422
623,2024-10-19,2024-11-02,Newsletter Editor,423
624,2024-10-01,2024-10-15,Graphic Designer,424
625,2024-10-03,2024-10-17,Social Media Manager,425
626,2024-09-12,2024-09-26,Data Analyst,426
627,2024-10-15,2024-10-29,Advocacy Chair,427
628,2024-09-04,2024-09-18,Program Director,428
629,2024-10-30,2024-11-15,Event Coordinator,429
630,2024-08-28,2024-09-28,President,430